,title,price,n_enrolled,Level,language,subject
867,Idealismo filosófico y cosmovisiones: cómo hacer mundos con ideas,$49 ,"15,349",Introductory,Español,Philosophy & Ethics
868,Rise to Leadership: Become a CEO,$199 ,"16,719",Intermediate,English,Business & Management
869,Building a Cybersecurity Toolkit,$199 ,"23,275",Introductory,English,Computer Science
870,Marketing your Android apps,$49 ,,Intermediate,English,Engineering
871,Embedded Systems Essentials with Arm: Getting Started,$149 ,,Intermediate,English,Computer Science
872,Life with Diabetes,$139 ,"12,318",Introductory,English,Medicine
873,Human Reproduction,$169 ,"5,517",Intermediate,English,Biology & Life Sciences
874,Enabling Technologies for Data Science and Analytics: The Internet of Things,$99 ,"71,290",Introductory,English,Computer Science
875,Astrophysics: Exploring Exoplanets,$50 ,"48,539",Intermediate,English,Physics
876,Unconventional Reservoir Geomechanics,$129 ,,Introductory,English,Energy & Earth Sciences
877,Strategic Account Management,$149 ,,Introductory,English,Business & Management
878,PyTorch Basics for Machine Learning,$39 ,,Introductory,English,Data Analysis & Statistics
879,Diseño y Desarrollo de Recursos Multimedia para la Enseñanza Virtual,$49 ,"14,266",Intermediate,Español,Humanities
880,Introduction to Cloud Foundry and Cloud Native Software Architecture,$169 ,"24,444",Introductory,English,Computer Science
881,Gestión de compras eficientes para tu empresa,$25 ,,Introductory,Español,Engineering
882,Know HBV And HCV,$50 ,,Introductory,English,Medicine
883,The Supreme Court & American Politics,$29 ,"6,216",Introductory,English,Law
884,Sales Enablement & Analytics,$149 ,,Introductory,English,Business & Management
885,Inversión Extranjera como Motor del Desarrollo para América Latina y el Caribe,$25 ,"16,423",Intermediate,Español,Business & Management
886,Liderazgo en la empresa familiar,$49 ,"10,969",Intermediate,Español,Business & Management
887,Comparative Political Systems,$59 ,"6,934",Introductory,English,Social Sciences
888,Introducción al Derecho en la vida cotidiana,$49 ,,Introductory,Español,Law
889,Cloud Computing for Enterprises,$299 ,"27,241",Intermediate,English,Computer Science
890,Diversity and Social Justice in Social Work,$199 ,"11,055",Advanced,English,Social Sciences
891,Public Library Marketing and Public Relations,$49 ,"7,525",Introductory,English,Humanities
