,course_title,price,num_subscribers,level,subject,idioma
190,Investing: How I Consistently Beat The Stock Market,200,2000,All Levels,Business Finance,Ingles
191,Bookkeeping Basics:  Understand the Fundamentals,75,853,Beginner Level,Business Finance,Ingles
192,Leasing - A Comprehensive Study (Professional Course Level),20,3094,All Levels,Business Finance,Ingles
193,Trading Options For Consistent Returns: Options Basics,0,4077,Beginner Level,Business Finance,Ingles
194,TechniTrader Leading Hybrid Indicator Trading,20,4117,Intermediate Level,Business Finance,Ingles
195,Financial modeling: Build a DCF equity valuation model,20,1369,All Levels,Business Finance,Ingles
196,CryptoArbitrager: Bitcoin Trading Robot (no mining),150,1224,All Levels,Business Finance,Ingles
197,Accounting Is Easy (for Beginners),20,3870,All Levels,Business Finance,Ingles
198,Non Directional Weekly Options Trading System - ETF & Emini,200,897,All Levels,Business Finance,Ingles
199,The Complete Position Trading Course: Position Trading Stock,45,1311,All Levels,Business Finance,Ingles
200,Master Iron Condors - Double the credit for half the risk,60,1338,Expert Level,Business Finance,Ingles
201,Basics of investing in Mutual Funds,20,1589,Intermediate Level,Business Finance,Ingles
202,A Value Investing Approach to the Stock Market,20,1189,All Levels,Business Finance,Ingles
203,Learn how to INVEST for huge profits or make it big trading!,50,701,All Levels,Business Finance,Ingles
204,"How to Fund your Million Dollar Idea: Equity, Debt, Unfund",50,1105,Intermediate Level,Business Finance,Ingles
205,Mastering Candlestick Charting : High Probability Trading,50,123,All Levels,Business Finance,Ingles
206,Binary Options Course - Level 2,0,5874,Intermediate Level,Business Finance,Ingles
207,Stock Technical Analysis with R,50,354,All Levels,Business Finance,Ingles
208,"Get to know the VIX Index (aka 'The Fear Index)""",60,727,All Levels,Business Finance,Ingles
209,Apply finance concepts for smart project management,0,3465,Beginner Level,Business Finance,Ingles
210,Introduction to Futures Trading and Live Trade Demonstration,60,54,Expert Level,Business Finance,Ingles
211,Crowdfunding to Win,40,627,All Levels,Business Finance,Ingles
212,Comprehensive Forex Mastery Program,45,650,All Levels,Business Finance,Ingles
213,Preparation of Consolidated Financial Statements (Basic),0,965,Intermediate Level,Business Finance,Ingles
214,Succeed in Bonds Even if You Don't Know Where to Start,200,1113,All Levels,Business Finance,Ingles
215,Learn to Trade for Profit: Ten Most Profitable Trading Rules,95,739,All Levels,Business Finance,Ingles
216,Succeed in Lotto Even if You Don't Know Where to Start!,20,1201,All Levels,Business Finance,Ingles
217,CFA Corporate Finance Level 2,50,2474,All Levels,Business Finance,Ingles
218,Pin Bars: The Most Powerful Forex Trading Signal,200,494,All Levels,Business Finance,Ingles
219,Stock Options Trades Using Interactive Brokers,95,1580,Intermediate Level,Business Finance,Ingles
220,Introduction to Options - Strategies For Consistent Profits,40,617,All Levels,Business Finance,Ingles
221,Risk in Forex Transactions - for CA / CS / CFA exams,20,2235,All Levels,Business Finance,Ingles
222,Basics of Business Statistics (College Level),20,2293,All Levels,Business Finance,Ingles
223,"Trading Seasonal Price Patterns in Stocks, Futures, & Forex!",200,1094,Beginner Level,Business Finance,Ingles
224,Interpreting Financial Statements,20,1449,Beginner Level,Business Finance,Ingles
225,Introduction to Bookkeeping (Accounting),20,3251,Beginner Level,Business Finance,Ingles
226,CREDIT SPREAD SURGERY - Bear Call and Bull Put Mastery ,60,607,Intermediate Level,Business Finance,Ingles
227,Investment Banking: How to Land a Job on Wall Street,75,1218,All Levels,Business Finance,Ingles
228,Learn To Invest In Index Funds and ETFs In 7 Easy Steps,20,1132,All Levels,Business Finance,Ingles
229,Financial modeling: Build a multiples valuation model,20,656,All Levels,Business Finance,Ingles
230,Trade Recap I - A Real Look at Futures Options Markets,20,3339,Beginner Level,Business Finance,Ingles
231,Advanced Stock Options for Serious Equity Investors!,200,1271,Expert Level,Business Finance,Ingles
232,Trading Binary Options for Fun and Profit,20,1574,All Levels,Business Finance,Ingles
233,CFA: Fast Track your career in Finance,20,1393,Beginner Level,Business Finance,Ingles
234,How to be a Profitable Forex Trader,20,1029,All Levels,Business Finance,Ingles
235,Excel Dashboard - Interactive Excel Dashboard and Charts,30,843,All Levels,Business Finance,Ingles
236,Accounting 101: Learn Business Finance Forecasting in 60mins,95,1730,All Levels,Business Finance,Ingles
237,The Securities Trade Lifecycle,50,1182,All Levels,Business Finance,Ingles
238,Double your Forex Account using the MAGIC MA trading robot,65,1160,Intermediate Level,Business Finance,Ingles
239,Technical Analysis 101: How to Profit During Market Crashes,95,1730,All Levels,Business Finance,Ingles
240,Advanced Accounting for Investment Banking,50,1260,Intermediate Level,Business Finance,Ingles
241,Investing In Stocks With 10 Simple Rules,95,871,All Levels,Business Finance,Ingles
242,Venture Capital. What is it and Why it Matters to You!,50,1566,All Levels,Business Finance,Ingles
243,Cash Flow Valuation: Develop Your Financial Literacy,105,2987,All Levels,Business Finance,Ingles
244,Direction-Independ Trading - Elite Forex Traders  Strategy,120,973,All Levels,Business Finance,Ingles
245,How to Become a Financial Analyst from Scratch!,40,2177,Beginner Level,Business Finance,Ingles
246,First Steps to Trading the Forexmarkets : Technical Analysis,35,1772,Beginner Level,Business Finance,Ingles
247,Financial analysis: Compare performance of companies,20,1850,All Levels,Business Finance,Ingles
248,Forex for Beginners: Easy Forex Trading for Beginners,0,1780,Beginner Level,Business Finance,Ingles
249,Investment Crowdfunding 101 (a.k.a Equity Crowdfunding),0,4607,Beginner Level,Business Finance,Ingles
250,Read financial statements like a pro,50,12,Intermediate Level,Business Finance,Ingles
251,10 Numbers Every Business Owner Should Know,20,13,All Levels,Business Finance,Ingles
252,Learn How To Trade Gold In 2017,200,2,All Levels,Business Finance,Ingles
253,IAS 18 - Revenue,0,2571,All Levels,Business Finance,Ingles
254,Forex Trading: The High ROI Forex Trading End of Day Course,125,8,Intermediate Level,Business Finance,Ingles
255,Fundraise the Simplified Way: A Crowdfunding Blueprint,35,7,All Levels,Business Finance,Ingles
256,Fundamentals of Accounting for Business Owners,20,217,Beginner Level,Business Finance,Ingles
257,Practical Financial Statement Analysis,75,22,All Levels,Business Finance,Ingles
258,Forex Management - Detailed Study for CA / CS / CFA Exams,50,131,All Levels,Business Finance,Ingles
259,Financial Statement Review 101:  How to Find Errors,30,5,Beginner Level,Business Finance,Ingles
260,Professional Risk Manager (PRM) Certification: Level 1,50,116,All Levels,Business Finance,Ingles
261,International Tax  - Tax Beyond boundaries,100,27,All Levels,Business Finance,Ingles
262,The Complete Financial Statement Analysis Course,150,912,Beginner Level,Business Finance,Ingles
263,Advanced Excel functions,20,1964,All Levels,Business Finance,Ingles
264,Penny Stocks Value & Chart Pattern Trading (2 Course Bundle),200,1033,Beginner Level,Business Finance,Ingles
265,Candlestick Analysis For Professional Traders,95,913,Expert Level,Business Finance,Ingles
266,Build A Career In Forex Trading- Learn Fundamental Analysis,200,2092,All Levels,Business Finance,Ingles
267,Financial Modeling: Build a Complete DCF Valuation Model,95,2240,All Levels,Business Finance,Ingles
268,Hands-on Financial Modeling (With 6 Excel Templates),30,4601,Intermediate Level,Business Finance,Ingles
269,CAIIB Advanced Bank Management (Part I),25,2953,All Levels,Business Finance,Ingles
270,Stock Market investment:Non financial fundamental analysis,125,1091,Beginner Level,Business Finance,Ingles
271,Learn How to Play CashFlow Game,35,1459,Beginner Level,Business Finance,Ingles
272,Basics of Business Finance,30,4855,Beginner Level,Business Finance,Ingles
273,Accounting Made Easy 2,50,4034,Intermediate Level,Business Finance,Ingles
